SEQUENCE	IS_AMYL
LATVYS	No
LATVYT	No
LATWYV	No
LDGFSR	No
LDGSSR	No
LDQWNG	No
LDTVYV	No
LETVYV	No
LFMFND	No
LFMSND	No
LFNNST	No
LGNNSN	No
LIAGFN	No
LINNSV	No
LKLVSS	No
LKNGER	No
LKTVYV	No
LLFCHI	No
LLFYHI	No
LLGPTI	No
LLNKTN	No
LLVPTI	No
LMNTTN	No
LMSLFG	No
LNDFQK	No
LNNITA	No
LPKVED	No
LQGYQA	No
LQNVSN	No
LQSSWG	No
LQTDAR	No
LRTVYV	No
LSGDHC	No
STVIYE	Yes
STVLIE	Yes
STVNIE	Yes
STVTIE	Yes
STVWIE	Yes
STVYIE	Yes
STWIFE	Yes
STWIIE	Yes
STWIYE	Yes
STWLIE	Yes
SVNLDV	Yes
SVSSSY	Yes
SVVIIE	Yes
SYSTMS	Yes
SYVIIE	Yes
TAMIIQ	Yes
TAMLGT	Yes
TASNSS	Yes
TATVYV	Yes
TAVTHR	Yes
TAVVTN	Yes
TCMLGT	Yes
TCVTHR	Yes
TFQINS	Yes
TGELAT	Yes
TIITLE	Yes
TIITVT	Yes
TQIVYK	Yes
TTVIIE	Yes
TYVEYI	Yes
VAFNIT	Yes
VAIVYK	Yes
VANFIT	Yes
